source_file	page_section	figure_table_panel_id	visible_result	inferred_analysis_type	required_inputs	expected_output_artifact	linked_method_code	reproduction_priority	notes
Main text	Fig 1	Fig 1a	Breeding scheme for HDT mouse (4 alleles: Dicer1fl, Dicer1fl-D1693N, Hic1CreERT2, Rosa26LSL-Tomato)	Schematic / diagram	Experimental design	Figure (non-computational)	N/A	N/A	Non-computational figure; illustrative scheme only
Main text	Fig 1	Fig 1b-c	Macroscopic kidney tumors + penetrance/latency Kaplan-Meier curves (80% penetrance, 378d median)	Survival analysis + histology	Mouse cohort metadata	Kaplan-Meier plot; macroscopic photos	dicer1_swgs.R (metadata); survival analysis not in repo	MEDIUM	Survival statistics not deposited; metadata CSV in repo; partial reproduction possible from dicer1_swgs_sample_metadata.csv
Main text	Fig 1	Fig 1d	Tumor latency by timing of Dicer1 mutation activation	Survival analysis	Mouse cohort metadata	Kaplan-Meier plot by injection timing group	dicer1_swgs.R (metadata)	MEDIUM	Metadata only; full KM plot requires per-mouse survival data not deposited
Main text	Fig 1	Fig 1e-g	Histology panels: SARC DICER1/PIS features; kidney parenchyma involvement	Histopathology (non-computational)	FFPE sections	Microscopy images	N/A	N/A	Non-computational; images not deposited
Main text	Fig 1	Fig 1r	FFPE Xenium spatial transcriptomics of human tissue (multiple cell lineages)	Xenium spatial transcriptomics (human FFPE)	Human FFPE Xenium data (not deposited)	Xenium spatial plots	dicer1_xenium_proseg_homo_sapiens.R	LOW	Xenium human RDS not deposited on GEO; blocked by missing data
Main text	Fig 1	Supp Fig 1k-l	sWGS copy number profiles across tumor samples	Shallow WGS CNV analysis (QDNAseq)	dicer1_swgs_50kb_noXY_copyNumbersSegmented_filtered_called.rds (not deposited)	CN profile plots	dicer1_swgs.R	LOW	Processed sWGS RDS not deposited on GEO; raw data in PRJNA1221971; reproduction blocked
Main text	Fig 2	Fig 2a	scRNA-seq overview of control (steady-state) kidney samples; QC metrics	scRNA-seq QC + UMAP	Cell Ranger output (GSE288990) — 8 PX samples	output/scrna/dicer1_scrna_sce_qc.rds; QC plots	dicer1_scrna_qc.R	HIGH	Completed; sce_qc.rds produced
Main text	Fig 2	Fig 2b-d	Normal kidney Hic1+ MSC cell type UMAPs, DotPlots, heatmaps (Mural, Fibro, etc.)	scRNA-seq clustering + cell type annotation (controls)	dicer1_scrna_sce_qc.rds	output/scrna/dicer1_scrna_filter_control.rds; output/plots/dicer1_scrna_filter_control_*.{png,svg}	dicer1_scrna_controls.R (patched)	HIGH	Completed; 17 plots + 4 marker tables generated
Main text	Fig 2	Fig 2e-h	Xenium spatial analysis of normal kidney MSC niches; WT kidney clusters, cell type annotation, renal capsular surface	Xenium spatial clustering (SCTransform + UMAP on 622K WT cells)	GSE289001 Xenium RDS (dicer1_xenium_mus_musculus_all.rds, 2.2GB) — downloaded	output/xenium/dicer1_xenium_wt.rds; Xenium spatial plots	dicer1_xenium_proseg_mus_musculus.R (v3 patched)	HIGH	BLOCKED — OOM; 622K WT cells require ≥32 GB RAM for SCTransform; 3 attempts failed (FOV error, OOM x2); patched script ready for high-RAM system
Main text	Fig 3	Fig 3a	scRNA-seq of HDT tumor samples; UMAP of tumor cell populations (10 clusters)	scRNA-seq clustering + UMAP (tumors)	dicer1_scrna_sce_qc.rds	output/scrna/dicer1_scrna_filter_tumor.rds; output/plots/dicer1_scrna_filter_tumor_clusters.{png,svg}	dicer1_scrna_tumors.R (patched)	HIGH	Completed; split into 2 scripts due to OOM; ~20 plots + 4 marker tables
