figure_table_panel	script_rule_process	command	required_inputs	expected_outputs	runnable_now	assumptions_defaults_used	blocker_if_not_runnable
Fig 4a specific gene expression dot plot (MUT vs WT; DMEM + MesEnCult)	dicer1_rna.R (patched)	Rscript code/dicer1_rna_patched.R	GSE309820 salmon quant.sf x12 + tx2gene.tsv	output/plots/dicer1_rna_mut_vs_control.{png,svg}	yes	dot/bubble plot of named genes (Dpt, Dcn, Pi16, Ly6a, Ly6c1, Col15a1, Itga8, Myh11, Acta2) log2FC by condition; matches Fig 4a description	none
Fig 4a (QC/exploratory only — not a main paper figure) bulk RNA PCA	dicer1_rna.R (patched)	Rscript code/dicer1_rna_patched.R	GSE309820 salmon quant.sf x12 + tx2gene.tsv	output/plots/dicer1_bulk_rna_pca.{png,svg}	yes	msigdbr v7.5.1 API fix applied; rm()/gc() for OOM	none
Supp (panel unconfirmed) volcano plots — DMEM + MesEnCult (DESeq2 MUT vs WT)	dicer1_rna.R (patched)	Rscript code/dicer1_rna_patched.R	same as above	output/plots/dicer1_rna_dmem_volcano.png, dicer1_rna_mesencult_volcano.png	yes	same	none
Supp (panel unconfirmed) GSEA plots — bulk RNA (Hallmarks, Reactome, GO:BP, Oncogenic, TF, miRNA)	dicer1_rna.R (patched)	Rscript code/dicer1_rna_patched.R	same as above	output/plots/dicer1_rna_{dmem,mesencult}_gsea_{hallmarks,reactome,ont,oncogenic,tf,mir}.png	yes	msigdbr category codes updated	none
Fig 4 DESeq2 DE tables	dicer1_rna.R (patched)	Rscript code/dicer1_rna_patched.R	same as above	output/tables/dicer1_rna_{dmem,mesencult}_de_mut_vs_wt.csv	yes	none	none
Fig 2a QC plot	dicer1_scrna_qc.R	Rscript code/dicer1_scrna_qc.R	GSE288990 8 PX directories	output/scrna/dicer1_scrna_sce_qc.rds	yes	none	none
Fig 2b control unfiltered UMAP	dicer1_scrna_controls.R (patched)	Rscript scripts/patched/dicer1_scrna_controls_patched.R	output/scrna/dicer1_scrna_sce_qc.rds	output/scrna/dicer1_scrna_unfilter_control.rds, output/plots/dicer1_scrna_unfilter_control_clusters.{png,svg}	yes	rowData fix, make.unique, JoinLayers, DotPlot tryCatch	none
Fig 2c control filtered UMAP + cell types	dicer1_scrna_controls.R (patched)	Rscript scripts/patched/dicer1_scrna_controls_patched.R	output/scrna/dicer1_scrna_sce_qc.rds	output/scrna/dicer1_scrna_filter_control.rds, output/plots/dicer1_scrna_filter_control_cell_type.{png,svg}	yes	cell type annotation from reference YAML	none
Fig 2d control dot plots / heatmaps	dicer1_scrna_controls.R (patched)	same	same	output/plots/dicer1_scrna_filter_control_dot_plot*.{png,svg}, heatmap*.{png,svg}	yes	same	none
Fig 3a tumor UMAP clusters	dicer1_scrna_tumors.R (patched)	Rscript scripts/patched/dicer1_scrna_tumors_patched.R	output/scrna/dicer1_scrna_sce_qc.rds	output/scrna/dicer1_scrna_unfilter_tumor.rds, output/plots/dicer1_scrna_unfilter_tumor_clusters.{png,svg}	yes	JoinLayers, DotPlot tryCatch	none
Fig 3b-c tumor cell type / time split	dicer1_scrna_tumors.R filter-only (patched)	Rscript scripts/patched/dicer1_scrna_tumors_filter_only_patched.R	output/scrna/dicer1_scrna_unfilter_tumor.rds	output/scrna/dicer1_scrna_filter_tumor.rds, output/plots/dicer1_scrna_filter_tumor_cell_type*.{png,svg}	yes	split due to OOM; aggressive gc()	none
Fig 4b-c trajectory pseudotime (6 lineages from Dpt+ cells)	dicer1_scrna_trajectory.R (patched)	Rscript scripts/patched/dicer1_scrna_trajectory_patched.R	output/scrna/dicer1_scrna_filter_tumor.rds	output/scrna/dicer1_scrna_trajectory_cds.rds, output/plots/dicer1_scrna_filter_tumor_trajectory_*.{png,svg}	yes	display-device tryCatch; root node approximated from Progen centroid (interactive root not reproduced); branch trajectory plots skipped	none
Fig 3b-d control+tumor integrated UMAP (tumor cells compared to normal MSC hierarchy)	dicer1_scrna_controls_and_tumors.R (patched)	Rscript scripts/patched/dicer1_scrna_controls_and_tumors_patched.R	output/scrna/dicer1_scrna_filter_control.rds + filter_tumor.rds	output/scrna/dicer1_scrna_filter_control_and_tumor.rds, output/plots/dicer1_scrna_filter_control_and_tumor_*.{png,svg}	yes	DotPlot tryCatch	none
inferCNV export (intermediate)	dicer1_scrna_export_infer_cnv.R (filter-only patched)	Rscript scripts/patched/dicer1_scrna_export_infer_cnv_filter_only.R	output/scrna/dicer1_scrna_unfilter_control.rds, dicer1_scrna_filter_tumor.rds	output/infer_cnv/dicer1_scrna_filter_combined_counts.matrix + cells.tsv	yes	filter-only; unfiltered blocked OOM	none
