Mouse ID,Genotype,Gender,PNW,Days after tamoxifen injection,Sample_ID,Core_ID,Histotype,Cambium layer,Rhabdomyoblasts,Anaplasia,Necrosis,Trp53,Kras,Hras,Nras,Dicer1,Kras qPCR,Kras FISH
HDT296,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,81,533,HDT296_kidney_1_tumor,HDT296_48,LGMT-like,yes,no,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT298,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,81,533,HDT298_kidney_1_tumor,HDT298_16,LGMT-like,no,no,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT339,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,M,66,444,HDT339_kidney_2_tumor,HDT339,LGMT-like,yes,no,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT339,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,M,66,444,HDT339_kidney_1_tumor,HDT339_20,LGMT-like,yes,no,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT344,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,66,444,HDT344_kidney_1_tumor,HDT344_52,LGMT-like,yes,no,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT348,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,M,62,414,HDT348_kidney_1_tumor,HDT348_15,LGMT-like,no,no,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT366,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,69,455,HDT366_kidney_1_tumor,HDT366_17,LGMT-like,yes,no,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT400,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,M,46,290,HDT400_kidney_1_tumor,HDT400_57,LGMT-like,yes,no,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT539,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,52,350,HDT539_kidney_1_tumor,HDT539_58,LGMT-like,yes,no,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT291,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,61,393,HDT291_kidney_1_tumor,HDT291_34,SARC-like,no,no,no,yes,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT295,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,M,81,533,HDT295_kidney_1_tumor,HDT295_47,SARC-like,no,no,yes,yes,wt,wt,wt,wt,Asp1693Asn,,n.a.
