"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gnai3",5222.81177072587,-0.368906751505024,0.157705125727219,-2.33921852447027,0.0193241268461969,0.0544546766139021
"Cdc45",580.161511590858,-0.50136910891924,0.173381856587894,-2.89170458077935,0.00383158042493402,0.0142515730227236
"H19",62.6433317288929,0.918019314528046,0.499677115629069,1.83722505156616,0.0661766788785995,0.147157000208447
"Scml2",109.157589875592,-0.698947315996865,0.299407971834026,-2.33443121676239,0.0195731537993771,0.0550130473513387
"Narf",272.957919619202,0.614725591569774,0.239370932032288,2.56808788916298,0.010226122490228,0.0324979375362072
"Cav2",1413.32199811231,-0.466074407828827,0.175971795197693,-2.64857449061779,0.00808320333236432,0.0266582604504253
"Klf6",6078.90274484982,-0.442199500897237,0.13292453344236,-3.32669590364963,0.000878822216028942,0.00413549550334878
"Scmh1",549.096125380385,-0.119378872242943,0.173515757307637,-0.688000179898871,0.491452668080294,0.642770885134141
"Cox5a",1491.05359874115,-0.305693221194295,0.157539629820291,-1.94042109622198,0.0523285348140824,0.121756312753972
"Tbx2",47.8644512381647,-1.46946639769441,0.384084400627047,-3.8258945046854,0.000130298084655815,0.000794908801181484
"Wnt9a",80.4775308691231,-0.0186610188554796,0.313090836121557,-0.0596025712111054,0.952472170481396,0.971901911309365
"Fer",1555.46541987456,-0.371549822392947,0.120875638004588,-3.07381891443538,0.00211337670674425,0.00867064302101492
"Xpo6",1574.65366191836,0.0201945453219668,0.136141433110704,0.148335042907515,0.882078361015197,0.931027516890411
"Tfe3",1008.59249194953,-0.185165291746643,0.19594430364135,-0.944989409263784,0.344664282952307,0.505857905521315
"Axin2",12.8331877985965,3.70384973722831,1.00314055453719,3.69225401213802,0.00022227529448514,0.00126746512749822
"Brat1",232.529568878957,0.395181251332137,0.201088262278089,1.96521292120787,0.0493895990727756,0.116206930794599
"Gna12",1783.69805257063,-0.325375042586451,0.0805155195049633,-4.0411469066705,5.31904228847669e-05,0.000365239171503803
"Slc22a18",5.19663205594663,2.26775984065822,0.996162283293968,2.27649638888105,0.0228163164927537,0.0623456735268557
"Igsf5",73.180470832564,9.7260318873319,1.81318077114863,5.36407182454873,8.13665246266646e-08,1.15407454102159e-06
"Pih1d2",17.3504453729899,0.490338326240738,0.450312770544425,1.08888390095605,0.276205086477315,0.431802768938399
"Dlat",1506.55375014618,-0.390211491061789,0.112031906683914,-3.48303891821398,0.00049575628914396,0.00253486737002819
"Sdhd",1141.94888642459,-0.217466639340994,0.136837860369578,-1.58922858596042,0.112008794917917,0.220380126171086
"Ccnd2",17597.2490811846,0.00927222792973394,0.172697432473982,0.0536905951461141,0.957181675981321,0.975150078828256
"Gpr107",1026.27859802287,-0.0582378067384117,0.130785762690196,-0.445291639858114,0.656109008693009,0.773615319703794
"Drp2",29.8074208233407,-0.046807559846808,0.487129288551311,-0.0960885763736572,0.923450224057208,0.956623678040832
"Gmpr",122.991543978876,0.457147742190474,0.249189696540113,1.83453709578592,0.0665743065042319,0.147751978607372
"Mid2",807.070479019603,-0.968806756360541,0.153041933857061,-6.33033530055491,2.44629014290254e-10,5.98000943454577e-09
