"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gnai3",5222.81177072587,-0.367505300677144,0.157791412825496,-2.32905767238154,0.0198560106415759,0.0584616852907395
"Cdc45",580.161511590858,-0.248252672215577,0.173881980432662,-1.42770787172921,0.153375959500392,0.287446998231669
"H19",62.6433317288929,3.37338835574308,0.51354673148079,6.56880503555355,5.07206416074934e-11,1.46392061280273e-09
"Scml2",109.157589875592,-0.893520208066058,0.301516846884147,-2.96341719310091,0.00304243908474748,0.012461553662312
"Narf",272.957919619202,0.511426248421801,0.239190593592048,2.1381536821388,0.0325042721990599,0.0865139272921767
"Cav2",1413.32199811231,-0.547322113434586,0.176699056357785,-3.09748181295521,0.00195172371811079,0.00854357788282941
"Klf6",6078.90274484982,-0.579019811165479,0.133058615676548,-4.35161457393348,1.35138671290941e-05,0.000118571108843038
"Scmh1",549.096125380385,-0.0463990759337703,0.174452193001343,-0.265970149962019,0.79026219813502,0.877958066470585
"Cox5a",1491.05359874115,-0.0346134965249642,0.157988496758324,-0.219088713641682,0.826580942419749,0.900722670490115
"Tbx2",47.8644512381647,-1.63426350081864,0.391674403757187,-4.17250523685428,3.01268672842336e-05,0.00023816830514465
"Wnt9a",80.4775308691231,-0.787129342031987,0.318508423075634,-2.47129835509899,0.013462344963498,0.0426378370452744
"Fer",1555.46541987456,-0.32136891608512,0.121102126210595,-2.65370168254737,0.00796141773747759,0.0278050262727717
"Xpo6",1574.65366191836,-0.112874539902225,0.136330562872522,-0.827947435438738,0.407700269281119,0.575018561611018
"Tfe3",1008.59249194953,-0.341220936891525,0.196011773073762,-1.74081858217322,0.0817153836928923,0.179215389793617
"Axin2",12.8331877985965,2.18154115537549,0.940635336824898,2.31922092437995,0.0203830604736108,0.0596759629279469
"Brat1",232.529568878957,0.326751669604845,0.200697193541415,1.62808290359785,0.103507308130575,0.215126234375774
"Gna12",1783.69805257063,-0.39423601992072,0.0810947445168972,-4.86142501920794,1.16543724657305e-06,1.35832387544202e-05
"Slc22a18",5.19663205594663,1.37885282811696,1.01601378175123,1.35712020140153,0.174743020608797,0.315827169561174
"Igsf5",73.180470832564,9.36292812395391,1.81353475777927,5.16280599739874,2.43275235377629e-07,3.27222651528034e-06
