"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003012","muscle system process","29/429","431/22989",3.17881594688725e-09,1.28042706340618e-05,1.09183962470454e-05,"ENSMUSG00000000093/ENSMUSG00000005611/ENSMUSG00000006457/ENSMUSG00000007655/ENSMUSG00000018604/ENSMUSG00000018830/ENSMUSG00000019789/ENSMUSG00000019997/ENSMUSG00000020542/ENSMUSG00000021200/ENSMUSG00000021217/ENSMUSG00000022144/ENSMUSG00000022358/ENSMUSG00000027199/ENSMUSG00000028464/ENSMUSG00000029019/ENSMUSG00000030554/ENSMUSG00000031799/ENSMUSG00000035783/ENSMUSG00000036437/ENSMUSG00000040287/ENSMUSG00000041957/ENSMUSG00000045103/ENSMUSG00000045730/ENSMUSG00000048096/ENSMUSG00000054640/ENSMUSG00000057880/ENSMUSG00000061086/ENSMUSG00000068457",29
"GO:0006936","muscle contraction","24/429","317/22989",7.79742096001376e-09,1.57040058134677e-05,1.33910445223815e-05,"ENSMUSG00000000093/ENSMUSG00000005611/ENSMUSG00000006457/ENSMUSG00000007655/ENSMUSG00000018604/ENSMUSG00000018830/ENSMUSG00000019997/ENSMUSG00000020542/ENSMUSG00000021217/ENSMUSG00000022144/ENSMUSG00000028464/ENSMUSG00000030554/ENSMUSG00000031799/ENSMUSG00000035783/ENSMUSG00000036437/ENSMUSG00000040287/ENSMUSG00000041957/ENSMUSG00000045103/ENSMUSG00000045730/ENSMUSG00000048096/ENSMUSG00000054640/ENSMUSG00000057880/ENSMUSG00000061086/ENSMUSG00000068457",24
"GO:0031589","cell-substrate adhesion","25/429","369/22989",3.46084808788598e-08,4.64676536600158e-05,3.96236747746384e-05,"ENSMUSG00000000530/ENSMUSG00000000555/ENSMUSG00000004098/ENSMUSG00000006386/ENSMUSG00000006457/ENSMUSG00000019997/ENSMUSG00000021365/ENSMUSG00000023886/ENSMUSG00000024395/ENSMUSG00000025006/ENSMUSG00000026768/ENSMUSG00000027750/ENSMUSG00000032011/ENSMUSG00000032462/ENSMUSG00000033420/ENSMUSG00000035258/ENSMUSG00000039115/ENSMUSG00000040152/ENSMUSG00000041729/ENSMUSG00000042812/ENSMUSG00000045103/ENSMUSG00000053024/ENSMUSG00000063275/ENSMUSG00000068748/ENSMUSG00000074715",25
"GO:0001659","temperature homeostasis","17/429","189/22989",1.05114558096379e-07,0.000105850360003053,9.02602113338113e-05,"ENSMUSG00000006457/ENSMUSG00000007655/ENSMUSG00000018507/ENSMUSG00000021457/ENSMUSG00000022015/ENSMUSG00000022053/ENSMUSG00000022484/ENSMUSG00000025408/ENSMUSG00000027199/ENSMUSG00000027533/ENSMUSG00000035042/ENSMUSG00000037010/ENSMUSG00000038910/ENSMUSG00000045730/ENSMUSG00000050737/ENSMUSG00000057880/ENSMUSG00000062515",17
"GO:0007611","learning or memory","22/429","319/22989",1.70474820096034e-07,0.000137334515069365,0.000117107229047023,"ENSMUSG00000000555/ENSMUSG00000000753/ENSMUSG00000019772/ENSMUSG00000020431/ENSMUSG00000022240/ENSMUSG00000022376/ENSMUSG00000022489/ENSMUSG00000022602/ENSMUSG00000026768/ENSMUSG00000027199/ENSMUSG00000027827/ENSMUSG00000028351/ENSMUSG00000031367/ENSMUSG00000032532/ENSMUSG00000033676/ENSMUSG00000038128/ENSMUSG00000045730/ENSMUSG00000045903/ENSMUSG00000053024/ENSMUSG00000055493/ENSMUSG00000060802/ENSMUSG00000068748",22
"GO:0006939","smooth muscle contraction","13/429","117/22989",2.96449269434752e-07,0.000199016276213863,0.000169704204590455,"ENSMUSG00000000093/ENSMUSG00000005611/ENSMUSG00000007655/ENSMUSG00000018604/ENSMUSG00000018830/ENSMUSG00000020542/ENSMUSG00000021217/ENSMUSG00000022144/ENSMUSG00000035783/ENSMUSG00000036437/ENSMUSG00000045730/ENSMUSG00000054640/ENSMUSG00000057880",13
"GO:0042692","muscle cell differentiation","26/429","447/22989",3.71603018527843e-07,0.000213830994090022,0.000182336939767873,"ENSMUSG00000000093/ENSMUSG00000006457/ENSMUSG00000015342/ENSMUSG00000018604/ENSMUSG00000018830/ENSMUSG00000019789/ENSMUSG00000019899/ENSMUSG00000020542/ENSMUSG00000021200/ENSMUSG00000021217/ENSMUSG00000026768/ENSMUSG00000026950/ENSMUSG00000030256/ENSMUSG00000030790/ENSMUSG00000030849/ENSMUSG00000031972/ENSMUSG00000032238/ENSMUSG00000040287/ENSMUSG00000042292/ENSMUSG00000042812/ENSMUSG00000044471/ENSMUSG00000045103/ENSMUSG00000048096/ENSMUSG00000054640/ENSMUSG00000063275/ENSMUSG00000067818",26
"GO:0030198","extracellular matrix organization","21/429","322/22989",8.11599515591521e-07,0.000328474412406911,0.000280095125616409,"ENSMUSG00000004098/ENSMUSG00000007655/ENSMUSG00000018830/ENSMUSG00000019899/ENSMUSG00000019997/ENSMUSG00000021998/ENSMUSG00000022324/ENSMUSG00000023886/ENSMUSG00000024330/ENSMUSG00000026768/ENSMUSG00000027750/ENSMUSG00000027832/ENSMUSG00000027996/ENSMUSG00000029061/ENSMUSG00000029436/ENSMUSG00000029661/ENSMUSG00000031825/ENSMUSG00000033420/ENSMUSG00000035258/ENSMUSG00000039462/ENSMUSG00000042812",21
"GO:0032890","regulation of organic acid transport","11/429","89/22989",8.31764044705575e-07,0.000328474412406911,0.000280095125616409,"ENSMUSG00000020123/ENSMUSG00000020333/ENSMUSG00000021457/ENSMUSG00000022015/ENSMUSG00000027075/ENSMUSG00000032532/ENSMUSG00000040010/ENSMUSG00000040152/ENSMUSG00000049511/ENSMUSG00000050737/ENSMUSG00000057880",11
"GO:0043062","extracellular structure organization","21/429","323/22989",8.53335490055417e-07,0.000328474412406911,0.000280095125616409,"ENSMUSG00000004098/ENSMUSG00000007655/ENSMUSG00000018830/ENSMUSG00000019899/ENSMUSG00000019997/ENSMUSG00000021998/ENSMUSG00000022324/ENSMUSG00000023886/ENSMUSG00000024330/ENSMUSG00000026768/ENSMUSG00000027750/ENSMUSG00000027832/ENSMUSG00000027996/ENSMUSG00000029061/ENSMUSG00000029436/ENSMUSG00000029661/ENSMUSG00000031825/ENSMUSG00000033420/ENSMUSG00000035258/ENSMUSG00000039462/ENSMUSG00000042812",21
