"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072001","renal system development","65/1280","347/22989",4.19495664346765e-18,2.30929012749779e-14,1.73992243024898e-14,"ENSMUSG00000000489/ENSMUSG00000000567/ENSMUSG00000001504/ENSMUSG00000001507/ENSMUSG00000001656/ENSMUSG00000004231/ENSMUSG00000004655/ENSMUSG00000004791/ENSMUSG00000005583/ENSMUSG00000007888/ENSMUSG00000013584/ENSMUSG00000014329/ENSMUSG00000015647/ENSMUSG00000015957/ENSMUSG00000016458/ENSMUSG00000019256/ENSMUSG00000019913/ENSMUSG00000020679/ENSMUSG00000020681/ENSMUSG00000020689/ENSMUSG00000021732/ENSMUSG00000021835/ENSMUSG00000022309/ENSMUSG00000022330/ENSMUSG00000022580/ENSMUSG00000022883/ENSMUSG00000024713/ENSMUSG00000024990/ENSMUSG00000024998/ENSMUSG00000025921/ENSMUSG00000025934/ENSMUSG00000026180/ENSMUSG00000026235/ENSMUSG00000026365/ENSMUSG00000026494/ENSMUSG00000026556/ENSMUSG00000026976/ENSMUSG00000027276/ENSMUSG00000028024/ENSMUSG00000028289/ENSMUSG00000029086/ENSMUSG00000029304/ENSMUSG00000030110/ENSMUSG00000031616/ENSMUSG00000031665/ENSMUSG00000031734/ENSMUSG00000031980/ENSMUSG00000032036/ENSMUSG00000032327/ENSMUSG00000034292/ENSMUSG00000034687/ENSMUSG00000035964/ENSMUSG00000036856/ENSMUSG00000038210/ENSMUSG00000038843/ENSMUSG00000040943/ENSMUSG00000043760/ENSMUSG00000044254/ENSMUSG00000045515/ENSMUSG00000050199/ENSMUSG00000051279/ENSMUSG00000052534/ENSMUSG00000067158/ENSMUSG00000074934/ENSMUSG00000079465",65
"GO:0001822","kidney development","63/1280","333/22989",8.28742195405629e-18,2.30929012749779e-14,1.73992243024898e-14,"ENSMUSG00000000489/ENSMUSG00000000567/ENSMUSG00000001504/ENSMUSG00000001507/ENSMUSG00000001656/ENSMUSG00000004231/ENSMUSG00000004655/ENSMUSG00000004791/ENSMUSG00000005583/ENSMUSG00000007888/ENSMUSG00000014329/ENSMUSG00000015647/ENSMUSG00000015957/ENSMUSG00000016458/ENSMUSG00000019256/ENSMUSG00000019913/ENSMUSG00000020679/ENSMUSG00000020681/ENSMUSG00000020689/ENSMUSG00000021732/ENSMUSG00000021835/ENSMUSG00000022309/ENSMUSG00000022330/ENSMUSG00000022580/ENSMUSG00000022883/ENSMUSG00000024713/ENSMUSG00000024998/ENSMUSG00000025921/ENSMUSG00000025934/ENSMUSG00000026180/ENSMUSG00000026235/ENSMUSG00000026365/ENSMUSG00000026494/ENSMUSG00000026556/ENSMUSG00000026976/ENSMUSG00000027276/ENSMUSG00000028024/ENSMUSG00000028289/ENSMUSG00000029086/ENSMUSG00000029304/ENSMUSG00000030110/ENSMUSG00000031616/ENSMUSG00000031665/ENSMUSG00000031734/ENSMUSG00000031980/ENSMUSG00000032036/ENSMUSG00000032327/ENSMUSG00000034292/ENSMUSG00000034687/ENSMUSG00000035964/ENSMUSG00000036856/ENSMUSG00000038210/ENSMUSG00000038843/ENSMUSG00000040943/ENSMUSG00000043760/ENSMUSG00000044254/ENSMUSG00000045515/ENSMUSG00000050199/ENSMUSG00000051279/ENSMUSG00000052534/ENSMUSG00000067158/ENSMUSG00000074934/ENSMUSG00000079465",63
"GO:0001655","urogenital system development","68/1280","390/22989",3.49815897107964e-17,6.49841331527561e-14,4.89619513531112e-14,"ENSMUSG00000000489/ENSMUSG00000000567/ENSMUSG00000001504/ENSMUSG00000001507/ENSMUSG00000001656/ENSMUSG00000004231/ENSMUSG00000004655/ENSMUSG00000004791/ENSMUSG00000005583/ENSMUSG00000007888/ENSMUSG00000013584/ENSMUSG00000014329/ENSMUSG00000015053/ENSMUSG00000015647/ENSMUSG00000015957/ENSMUSG00000016458/ENSMUSG00000019256/ENSMUSG00000019913/ENSMUSG00000020679/ENSMUSG00000020681/ENSMUSG00000020689/ENSMUSG00000021732/ENSMUSG00000021835/ENSMUSG00000022309/ENSMUSG00000022330/ENSMUSG00000022580/ENSMUSG00000022883/ENSMUSG00000024713/ENSMUSG00000024990/ENSMUSG00000024998/ENSMUSG00000025921/ENSMUSG00000025934/ENSMUSG00000026180/ENSMUSG00000026235/ENSMUSG00000026365/ENSMUSG00000026494/ENSMUSG00000026556/ENSMUSG00000026976/ENSMUSG00000027276/ENSMUSG00000028024/ENSMUSG00000028289/ENSMUSG00000028364/ENSMUSG00000029086/ENSMUSG00000029304/ENSMUSG00000030110/ENSMUSG00000031616/ENSMUSG00000031665/ENSMUSG00000031734/ENSMUSG00000031980/ENSMUSG00000032036/ENSMUSG00000032327/ENSMUSG00000034292/ENSMUSG00000034687/ENSMUSG00000035964/ENSMUSG00000036856/ENSMUSG00000038210/ENSMUSG00000038843/ENSMUSG00000040943/ENSMUSG00000043760/ENSMUSG00000044254/ENSMUSG00000045515/ENSMUSG00000046532/ENSMUSG00000050199/ENSMUSG00000051279/ENSMUSG00000052534/ENSMUSG00000067158/ENSMUSG00000074934/ENSMUSG00000079465",68
"GO:0061138","morphogenesis of a branching epithelium","50/1280","229/22989",4.77369789880761e-17,6.6509545975137e-14,5.01112655745883e-14,"ENSMUSG00000000303/ENSMUSG00000000489/ENSMUSG00000000567/ENSMUSG00000004231/ENSMUSG00000004791/ENSMUSG00000010175/ENSMUSG00000010797/ENSMUSG00000015647/ENSMUSG00000016458/ENSMUSG00000019256/ENSMUSG00000020679/ENSMUSG00000021469/ENSMUSG00000021732/ENSMUSG00000021835/ENSMUSG00000022309/ENSMUSG00000024986/ENSMUSG00000025746/ENSMUSG00000025921/ENSMUSG00000026556/ENSMUSG00000026814/ENSMUSG00000026976/ENSMUSG00000027315/ENSMUSG00000028023/ENSMUSG00000028364/ENSMUSG00000028780/ENSMUSG00000029378/ENSMUSG00000029648/ENSMUSG00000030218/ENSMUSG00000031616/ENSMUSG00000031665/ENSMUSG00000031980/ENSMUSG00000032796/ENSMUSG00000034121/ENSMUSG00000034486/ENSMUSG00000035964/ENSMUSG00000036856/ENSMUSG00000037025/ENSMUSG00000037169/ENSMUSG00000038210/ENSMUSG00000042207/ENSMUSG00000043760/ENSMUSG00000044562/ENSMUSG00000045005/ENSMUSG00000046532/ENSMUSG00000050199/ENSMUSG00000052534/ENSMUSG00000053113/ENSMUSG00000063531/ENSMUSG00000074934/ENSMUSG00000084128",50
"GO:0001763","morphogenesis of a branching structure","52/1280","249/22989",8.39254156630066e-17,9.35432682979872e-14,7.0479680648365e-14,"ENSMUSG00000000303/ENSMUSG00000000489/ENSMUSG00000000567/ENSMUSG00000004231/ENSMUSG00000004791/ENSMUSG00000010175/ENSMUSG00000010797/ENSMUSG00000015647/ENSMUSG00000016458/ENSMUSG00000019256/ENSMUSG00000020679/ENSMUSG00000021469/ENSMUSG00000021732/ENSMUSG00000021835/ENSMUSG00000022309/ENSMUSG00000023391/ENSMUSG00000024986/ENSMUSG00000025746/ENSMUSG00000025921/ENSMUSG00000026556/ENSMUSG00000026814/ENSMUSG00000026976/ENSMUSG00000027315/ENSMUSG00000028023/ENSMUSG00000028289/ENSMUSG00000028364/ENSMUSG00000028780/ENSMUSG00000029378/ENSMUSG00000029648/ENSMUSG00000030218/ENSMUSG00000031616/ENSMUSG00000031665/ENSMUSG00000031980/ENSMUSG00000032796/ENSMUSG00000034121/ENSMUSG00000034486/ENSMUSG00000035964/ENSMUSG00000036856/ENSMUSG00000037025/ENSMUSG00000037169/ENSMUSG00000038210/ENSMUSG00000042207/ENSMUSG00000043760/ENSMUSG00000044562/ENSMUSG00000045005/ENSMUSG00000046532/ENSMUSG00000050199/ENSMUSG00000052534/ENSMUSG00000053113/ENSMUSG00000063531/ENSMUSG00000074934/ENSMUSG00000084128",52
"GO:0048754","branching morphogenesis of an epithelial tube","42/1280","191/22989",1.1834082166569e-14,1.09918899857149e-11,8.28178136183226e-12,"ENSMUSG00000000567/ENSMUSG00000004231/ENSMUSG00000004791/ENSMUSG00000010797/ENSMUSG00000015647/ENSMUSG00000016458/ENSMUSG00000019256/ENSMUSG00000020679/ENSMUSG00000021469/ENSMUSG00000021732/ENSMUSG00000021835/ENSMUSG00000022309/ENSMUSG00000024986/ENSMUSG00000025921/ENSMUSG00000026556/ENSMUSG00000026814/ENSMUSG00000026976/ENSMUSG00000028023/ENSMUSG00000028364/ENSMUSG00000029378/ENSMUSG00000029648/ENSMUSG00000030218/ENSMUSG00000031616/ENSMUSG00000031665/ENSMUSG00000031980/ENSMUSG00000032796/ENSMUSG00000034121/ENSMUSG00000034486/ENSMUSG00000035964/ENSMUSG00000036856/ENSMUSG00000037025/ENSMUSG00000037169/ENSMUSG00000038210/ENSMUSG00000042207/ENSMUSG00000043760/ENSMUSG00000044562/ENSMUSG00000046532/ENSMUSG00000050199/ENSMUSG00000052534/ENSMUSG00000063531/ENSMUSG00000074934/ENSMUSG00000084128",42
"GO:0072006","nephron development","38/1280","161/22989",1.95947089368418e-14,1.56001875578599e-11,1.17538787893326e-11,"ENSMUSG00000000489/ENSMUSG00000000567/ENSMUSG00000001504/ENSMUSG00000001507/ENSMUSG00000004231/ENSMUSG00000004655/ENSMUSG00000004791/ENSMUSG00000005583/ENSMUSG00000015647/ENSMUSG00000016458/ENSMUSG00000019256/ENSMUSG00000020679/ENSMUSG00000020689/ENSMUSG00000021835/ENSMUSG00000022309/ENSMUSG00000024998/ENSMUSG00000026365/ENSMUSG00000026494/ENSMUSG00000026556/ENSMUSG00000026976/ENSMUSG00000027276/ENSMUSG00000028024/ENSMUSG00000029086/ENSMUSG00000030110/ENSMUSG00000031616/ENSMUSG00000031665/ENSMUSG00000031734/ENSMUSG00000031980/ENSMUSG00000032036/ENSMUSG00000035964/ENSMUSG00000036856/ENSMUSG00000038210/ENSMUSG00000045515/ENSMUSG00000050199/ENSMUSG00000052534/ENSMUSG00000067158/ENSMUSG00000074934/ENSMUSG00000079465",38
"GO:0060562","epithelial tube morphogenesis","63/1280","397/22989",4.89783864405034e-14,3.41195684541157e-11,2.57072083567327e-11,"ENSMUSG00000000567/ENSMUSG00000001504/ENSMUSG00000004231/ENSMUSG00000004791/ENSMUSG00000005583/ENSMUSG00000010797/ENSMUSG00000013584/ENSMUSG00000015647/ENSMUSG00000016458/ENSMUSG00000019256/ENSMUSG00000020679/ENSMUSG00000020930/ENSMUSG00000021469/ENSMUSG00000021732/ENSMUSG00000021835/ENSMUSG00000021944/ENSMUSG00000022309/ENSMUSG00000022623/ENSMUSG00000022883/ENSMUSG00000024986/ENSMUSG00000025921/ENSMUSG00000026121/ENSMUSG00000026180/ENSMUSG00000026235/ENSMUSG00000026494/ENSMUSG00000026556/ENSMUSG00000026814/ENSMUSG00000026976/ENSMUSG00000027315/ENSMUSG00000028023/ENSMUSG00000028266/ENSMUSG00000028289/ENSMUSG00000028364/ENSMUSG00000029378/ENSMUSG00000029381/ENSMUSG00000029648/ENSMUSG00000030110/ENSMUSG00000030218/ENSMUSG00000031616/ENSMUSG00000031665/ENSMUSG00000031734/ENSMUSG00000031980/ENSMUSG00000032796/ENSMUSG00000034121/ENSMUSG00000034486/ENSMUSG00000035964/ENSMUSG00000036158/ENSMUSG00000036856/ENSMUSG00000037025/ENSMUSG00000037169/ENSMUSG00000038210/ENSMUSG00000042207/ENSMUSG00000043760/ENSMUSG00000044562/ENSMUSG00000044674/ENSMUSG00000046532/ENSMUSG00000050199/ENSMUSG00000052534/ENSMUSG00000054196/ENSMUSG00000058498/ENSMUSG00000063531/ENSMUSG00000074934/ENSMUSG00000084128",63
"GO:0048762","mesenchymal cell differentiation","46/1280","244/22989",2.63240861515086e-13,1.63004591247064e-10,1.22814946968851e-10,"ENSMUSG00000000567/ENSMUSG00000000627/ENSMUSG00000004231/ENSMUSG00000005583/ENSMUSG00000006958/ENSMUSG00000010797/ENSMUSG00000013584/ENSMUSG00000015647/ENSMUSG00000015957/ENSMUSG00000019647/ENSMUSG00000021253/ENSMUSG00000021469/ENSMUSG00000021732/ENSMUSG00000021835/ENSMUSG00000022018/ENSMUSG00000025207/ENSMUSG00000025746/ENSMUSG00000025921/ENSMUSG00000025969/ENSMUSG00000026121/ENSMUSG00000026167/ENSMUSG00000026235/ENSMUSG00000026383/ENSMUSG00000026556/ENSMUSG00000026620/ENSMUSG00000026814/ENSMUSG00000027004/ENSMUSG00000027200/ENSMUSG00000027276/ENSMUSG00000027954/ENSMUSG00000028023/ENSMUSG00000028780/ENSMUSG00000029671/ENSMUSG00000030110/ENSMUSG00000030539/ENSMUSG00000031616/ENSMUSG00000034486/ENSMUSG00000035403/ENSMUSG00000036856/ENSMUSG00000037025/ENSMUSG00000038264/ENSMUSG00000039158/ENSMUSG00000040254/ENSMUSG00000048450/ENSMUSG00000063531/ENSMUSG00000074934",46
"GO:0060485","mesenchyme development","51/1280","303/22989",1.3159035976771e-12,7.3335307498545e-10,5.52540994856207e-10,"ENSMUSG00000000567/ENSMUSG00000000627/ENSMUSG00000004231/ENSMUSG00000005583/ENSMUSG00000006958/ENSMUSG00000010797/ENSMUSG00000013584/ENSMUSG00000015647/ENSMUSG00000015957/ENSMUSG00000016458/ENSMUSG00000018166/ENSMUSG00000019647/ENSMUSG00000021253/ENSMUSG00000021469/ENSMUSG00000021732/ENSMUSG00000021835/ENSMUSG00000021944/ENSMUSG00000022018/ENSMUSG00000022883/ENSMUSG00000025207/ENSMUSG00000025746/ENSMUSG00000025921/ENSMUSG00000025969/ENSMUSG00000026121/ENSMUSG00000026167/ENSMUSG00000026235/ENSMUSG00000026383/ENSMUSG00000026556/ENSMUSG00000026620/ENSMUSG00000026814/ENSMUSG00000027004/ENSMUSG00000027200/ENSMUSG00000027276/ENSMUSG00000027954/ENSMUSG00000028023/ENSMUSG00000028780/ENSMUSG00000029671/ENSMUSG00000030110/ENSMUSG00000030539/ENSMUSG00000031616/ENSMUSG00000034161/ENSMUSG00000034486/ENSMUSG00000035403/ENSMUSG00000036856/ENSMUSG00000037025/ENSMUSG00000038264/ENSMUSG00000039158/ENSMUSG00000040254/ENSMUSG00000048450/ENSMUSG00000063531/ENSMUSG00000074934",51
