"gene_name","ensembl_id","hdt1056_cell_p15_dmem","hdt1056_cell_p15_mesencult","hdt1056_cell_p18_dmem","hdt1056_cell_p18_mesencult","hdt1056_cell_p20_dmem","hdt1056_cell_p22_mesencult","hdt1119_cell_p22_dmem","hdt1119_cell_p22_mesencult","hdt1119_cell_p23_dmem","hdt1119_cell_p23_mesencult","hdt1119_cell_p27_dmem","hdt1119_cell_p27_mesencult"
"Gnai3","ENSMUSG00000000001",5580.3071329625,5152.54814883991,4594.14924153452,4147.37694692111,3801.08647105547,4083.28305293114,6526.91669036441,5260.36123896381,5350.50109689003,5964.54683467503,6171.75658891222,6040.90780466032
"Cdc45","ENSMUSG00000000028",481.973012690361,417.960523980672,449.725010998322,551.88596369462,538.069778856276,592.62827199575,568.051085170722,596.730467026394,721.753900053474,575.853455913114,786.660464354257,680.64620435633
"H19","ENSMUSG00000000031",44.6973761439772,101.0001819412,44.9450343733294,135.349466618726,70.1275178189607,225.320499130672,34.3596226482337,20.8051113860338,40.8501125088346,14.6761093917143,9.95907505306155,9.62987373197222
"Scml2","ENSMUSG00000000037",61.4919745262806,61.2361803473296,112.862944621916,72.5268989885988,91.7298790241742,79.9241483826362,128.363655312017,98.2317723225536,161.702737452181,187.620838921249,140.17087984085,114.029168767317
"Narf","ENSMUSG00000000056",376.341422947502,428.28134458652,291.823654232754,312.085789389031,280.769633012994,262.302949956469,208.938609817539,227.055801956475,256.299005943367,258.195563322856,154.535733225372,218.865527039539
"Cav2","ENSMUSG00000000058",1058.58596395511,856.912460482734,1469.67392909151,1000.24336209722,1362.95990222384,1269.10016248608,1762.7085182437,1311.02263104253,1697.2790952765,1544.88267738779,1917.08903721468,1709.40623784597
"Klf6","ENSMUSG00000000078",5646.86308534495,5104.52049481784,5390.59324801485,4764.08291497368,5092.47637137288,4127.7054475082,6877.00689155726,5826.49905830494,7567.43802426716,8118.89088950992,7468.87166528215,6961.88484724398
"Scmh1","ENSMUSG00000000085",500.775026326742,687.912461657074,505.604964562982,477.54793517416,577.477647333003,448.938337703307,585.024099600489,626.384727011498,540.289550836853,537.037042732665,595.448356228425,506.713355397422
"Cox5a","ENSMUSG00000000088",1339.72431708947,1114.35824825386,1534.5488327222,1490.85426730618,1345.58792321045,1574.55429927807,1451.59794121683,1456.4774644657,1901.72741804374,1315.39744808137,1860.63282462442,1507.18220060149
"Tbx2","ENSMUSG00000000093",20.1725401312163,28.088114952881,37.9489026149035,21.801443720769,19.7489080983838,17.773508104797,70.0238930577232,89.1495041348859,92.9234367840079,66.4297868061466,53.4842332205226,56.8291432317396
"Wnt9a","ENSMUSG00000000126",66.605969799135,47.7618006349016,103.982588989189,78.8497983181037,78.9303063850672,43.8845570685506,58.5157128523442,96.9031392290121,84.9711357247376,95.1766266996666,108.357419838118,101.791314890651
"Fer","ENSMUSG00000000127",1526.41348142832,1487.67075580306,1247.50956435333,1414.65253378497,1314.53710120848,1226.74468393219,1822.31553028988,1546.50012335206,1790.60931279639,1831.04403063735,1676.23098430196,1781.35693660673
"Xpo6","ENSMUSG00000000131",1411.63655872946,1518.96472681219,1599.06420462988,1406.52158666922,1758.79129540225,1600.73832769312,1533.38027298827,1741.81140511261,1653.48112370199,1810.1896879864,1514.69101104007,1346.57374225485
"Tfe3","ENSMUSG00000000134",798.971025455935,808.4616474228,866.387904813731,807.647131589931,1143.06772722321,1073.54325360622,1327.41592823604,1162.51804539909,977.921698110194,1219.22051445848,893.489159097501,1024.46586798125
"Axin2","ENSMUSG00000000142",27.9913410596392,31.160600056048,23.5123025655021,25.3127077243648,24.4510525538343,1.59650035810265,1.98369911228766,3.24482480427314,1.9244988740049,8.06489331724914,1.91545584313227,2.84037731472011
"Brat1","ENSMUSG00000000148",212.805766549741,243.235470302334,271.196647940813,250.999670596471,281.147548674,310.208076604519,166.008288014108,214.722598852842,237.609244651351,237.050401994816,175.865101006214,189.50601136028
"Gna12","ENSMUSG00000000149",1631.66752158441,1556.6981486937,1635.75096656728,1410.05924966609,1626.34023658617,1517.1216971891,2086.50399549444,1870.1810745285,1957.09454827724,2092.66027989901,2091.15994419266,1929.13896816891
"Slc22a18","ENSMUSG00000000154",10.8633096571955,4.74563543199828,12.0961667995874,10.1768999762712,7.57764396576993,3.30499229516787,2.88132042536854,2.83270983659003,3.54334476794785,3.32940473326164,0,1.00815678220135
"Igsf5","ENSMUSG00000000159",339.299949397103,258.956119864901,56.8926983815901,120.72301603598,83.5235937102644,18.7702726009298,0,0,0,0,0,0
"Pih1d2","ENSMUSG00000000167",19.9248785066252,26.934152182704,16.7349168618513,16.4792410790354,23.8241024747895,16.4012420729976,13.1705834018151,15.6560884227206,13.4490380375721,16.0798631618131,16.500139240445,13.0510990335102
