"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.84126284619152e-135,1.45365391037844,0.971,0.688,2.85449012252139e-130,"0","Col3a1"
3.48107211966412e-120,1.78796453823995,0.839,0.473,1.12389894455476e-115,"0","Aebp1"
1.12607435524033e-118,1.30069645092331,0.768,0.323,3.63564366332894e-114,"0","Plat"
1.03751432750566e-109,1.06888760872636,0.872,0.557,3.34971875778479e-105,"0","Tmem59"
7.56534728340748e-104,1.14129994692875,0.939,0.797,2.44254802392094e-99,"0","Itm2b"
1.91884297247101e-102,1.1475501087648,0.954,0.872,6.19517642091992e-98,"0","Tmsb10"
7.54512737010751e-100,2.04718769691766,0.562,0.197,2.43601982271291e-95,"0","Ecm1"
7.28245949187139e-97,1.54661672663047,0.537,0.17,2.3512148715456e-92,"0","Tmeff2"
5.84608430973939e-96,1.06226973296323,0.794,0.4,1.88746678024246e-91,"0","Cers6"
2.12866774386159e-95,1.26993373261566,0.78,0.411,6.87261667783151e-91,"0","Tgfbi"
2.23066174444776e-91,1.57890627454882,0.627,0.25,7.20191450812404e-87,"0","A2m"
5.67727679612722e-91,1.55839660054568,0.625,0.262,1.83296558639763e-86,"0","Aldh1a2"
1.00020822964182e-90,0.999548204113574,0.679,0.277,3.22927229022159e-86,"0","Negr1"
1.26743887401956e-86,1.30242376089146,0.67,0.304,4.09205314865955e-82,"0","Camk2n1"
7.06935051205264e-85,1.86013548720164,0.428,0.116,2.28241050632132e-80,"0","Slfn5"
3.05759733534572e-84,0.75015705566022,0.954,0.747,9.87175875689719e-80,"0","App"
4.21710241158725e-84,1.39353234530879,0.68,0.337,1.36153368460506e-79,"0","F2r"
4.34097404884633e-84,0.985063403615035,0.657,0.264,1.40152688141053e-79,"0","Adgrl2"
1.17351045024565e-83,0.939750287608712,0.631,0.248,3.78879583966309e-79,"0","Phactr1"
3.90785426157928e-83,0.939010373029081,0.703,0.307,1.26168982689349e-78,"0","Robo1"
1.8684224619349e-82,1.45995339819926,0.518,0.183,6.03238876060303e-78,"0","Arhgdib"
6.68170462781147e-81,1.39316753035671,0.567,0.224,2.15725515613521e-76,"0","Rnaset2b"
1.32146199937241e-80,0.605462284382255,0.905,0.562,4.26647221117375e-76,"0","Rora"
2.12377388488141e-79,2.17942203519068,0.694,0.35,6.85681636472811e-75,"0","Serping1"
2.81215726985307e-79,0.932962138521164,0.9,0.599,9.07933096144762e-75,"0","Pam"
3.58983023124489e-78,2.28214213743185,0.455,0.156,1.15901258845972e-73,"0","Nbl1"
1.12546803313147e-76,0.812551272148556,0.694,0.345,3.63368609176826e-72,"0","Rgs5"
4.32401937071605e-76,1.05210532652466,0.659,0.306,1.39605289402939e-71,"0","Itga8"
3.97577537144546e-75,0.903015297362803,0.698,0.349,1.28361883642488e-70,"0","Timp3"
4.46336952499384e-75,1.79005985728749,0.534,0.206,1.44104348483951e-70,"0","Anxa3"
