"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.89068730229185e-39,1.14820403306944,0.983,0.779,1.57900730241795e-34,"0","Cald1"
1.0700100212868e-33,2.08974590568745,0.724,0.271,3.45463435472655e-29,"0","Gm49708"
9.80544580655623e-32,1.74069676306682,0.853,0.43,3.16578623310474e-27,"0","Thsd4"
3.51459038507683e-31,1.41266472151322,0.789,0.271,1.13472065172591e-26,"0","Aldh1a2"
1.28520005641113e-30,1.96706635966644,0.862,0.528,4.14939690212897e-26,"0","Prkg1"
1.2446002528854e-28,2.25125071545153,0.685,0.261,4.01831637646581e-24,"0","Cdh2"
1.60638431183611e-28,1.40032544626865,0.905,0.525,5.18637238919405e-24,"0","Tmtc2"
1.84078747085572e-27,1.52982139365064,0.776,0.337,5.94316642840478e-23,"0","Tmem108"
6.47147504485586e-27,1.36990882372351,0.892,0.485,2.08938043298216e-22,"0","Kalrn"
1.34225474104974e-26,1.62611717070447,0.784,0.402,4.3336036569532e-22,"0","Etl4"
1.60206179993833e-26,1.50539058294888,0.884,0.545,5.17241672728091e-22,"0","Palld"
3.81818709326557e-26,1.62221383891726,0.776,0.367,1.23273988493172e-21,"0","Zbtb46"
2.1670683817435e-25,2.12747510328004,0.612,0.221,6.99659697729707e-21,"0","Gm13052"
2.44387809037476e-25,1.71510720777518,0.668,0.251,7.89030480258394e-21,"0","Hmga2"
3.94981723344093e-25,1.80150137846702,0.573,0.168,1.27523799198874e-20,"0","Alx3"
4.66584970987398e-25,1.21156575725881,0.888,0.53,1.50641623732991e-20,"0","Tenm3"
5.9408441388127e-25,1.72125213164498,0.681,0.312,1.91806093865707e-20,"0","Peg10"
1.79398720511102e-24,1.81375044830728,0.698,0.304,5.79206709042143e-20,"0","A2m"
2.76954252634545e-24,1.86975555406115,0.647,0.254,8.94174500055893e-20,"0","Trpc3"
3.43496294169702e-24,1.0769715821907,0.966,0.794,1.1090121353563e-19,"0","Rbms3"
3.48669071532931e-24,1.6145895610502,0.72,0.344,1.12571296435122e-19,"0","Frem1"
3.68600407685853e-24,1.30963703408886,0.789,0.364,1.19006327625455e-19,"0","Adgrl3"
4.8850208664213e-24,1.97920061572159,0.698,0.324,1.57717783693278e-19,"0","Kcnq5"
6.65334640145731e-24,1.49430180610522,0.789,0.389,2.14809941917451e-19,"0","Magi1"
8.52098541462191e-24,1.4680537286077,0.72,0.322,2.75108535096483e-19,"0","Tead2"
1.06931227493403e-23,1.33255756975683,0.931,0.693,3.45238161085202e-19,"0","Sox5"
1.33522449917079e-23,1.43702227928269,0.772,0.397,4.31090581802282e-19,"0","Nck2"
1.45442014321725e-23,1.87774783928366,0.638,0.261,4.69574087439121e-19,"0","Rerg"
1.58548548865981e-23,1.12189470296184,0.97,0.704,5.11889844868706e-19,"0","Lhfp"
1.80065461176387e-23,1.67270429105227,0.754,0.372,5.81359347954082e-19,"0","Hmcn1"
2.18390154994579e-23,1.72381817520552,0.69,0.291,7.05094454415499e-19,"0","Kif26b"
5.95540540862416e-23,1.45206785271941,0.741,0.332,1.9227621902284e-18,"0","St6gal1"
9.19381923033831e-23,1.10316638722761,0.823,0.399,2.96831647670703e-18,"0","Fnbp1l"
1.28210509162624e-22,1.83879096961585,0.677,0.284,4.13940449882449e-18,"0","Pde7b"
1.36351253681172e-22,1.58568733322349,0.681,0.304,4.40223657635031e-18,"0","Col25a1"
1.43804811741008e-22,2.23427849158776,0.53,0.176,4.6428821518702e-18,"0","Mpped2"
