"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.13588870131951e-211,2.9164816892492,0.84,0.245,2.30389302610802e-206,"Progen","Dcn"
1.03445037809238e-185,2.38874470198351,0.916,0.477,3.33982649070907e-181,"Progen","Col5a2"
3.26851082965272e-185,2.63700713090789,0.831,0.295,1.05527140646168e-180,"Progen","Mfap4"
1.72237226811716e-161,-2.66465915663503,0.517,0.899,5.56085110484306e-157,"Progen","Foxp1"
1.05170584851776e-159,2.14336870945356,0.914,0.565,3.39553750252443e-155,"Progen","Itm2a"
1.88405585813211e-154,2.44177861078407,0.907,0.75,6.08286274356533e-150,"Progen","Col1a2"
5.73676293508113e-154,2.13848695016907,0.656,0.14,1.85217128122029e-149,"Progen","Nrxn3"
5.62826522741793e-152,2.20580939968492,0.93,0.756,1.81714171132415e-147,"Progen","Col1a1"
2.26699034898165e-145,2.35291295600327,0.686,0.182,7.31920504072215e-141,"Progen","Adamtsl1"
1.16970026893222e-142,2.24886932163232,0.831,0.412,3.77649428827457e-138,"Progen","Col6a2"
2.41177939527237e-141,1.38346061975681,0.965,0.837,7.78667095557637e-137,"Progen","Gas5"
5.77372126212987e-135,2.63323521582668,0.575,0.116,1.86410364669125e-130,"Progen","Ifitm1"
4.44755368093559e-132,2.08465856987602,0.838,0.449,1.43593718142686e-127,"Progen","Col6a1"
2.14675068927109e-129,2.08192322452473,0.635,0.149,6.93099927538064e-125,"Progen","Gria4"
4.05743854677483e-124,1.88977912576274,0.827,0.414,1.30998460921172e-119,"Progen","Plagl1"
1.10730702923686e-121,1.55698004290233,0.933,0.721,3.57505147459412e-117,"Progen","Col5a1"
4.25411839398692e-118,1.85798154881464,0.651,0.183,1.37348466468262e-113,"Progen","Postn"
1.12324400666315e-115,2.05844099592018,0.766,0.353,3.62650559991266e-111,"Progen","Lsp1"
1.72775008980649e-114,0.984215340208443,0.997,0.955,5.57821393994922e-110,"Progen","Rpl41"
