"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.50730340323179e-260,3.13268243810782,0.929,0.241,3.06952797676742e-255,"0","Dcn"
4.48449568528548e-231,2.85081522551149,0.917,0.29,1.44786427695127e-226,"0","Mfap4"
1.56928148884243e-222,2.67319655584637,0.991,0.728,5.06658221487666e-218,"0","Col1a2"
1.98755928127599e-216,2.56167299426657,0.961,0.481,6.41703389552765e-212,"0","Col5a2"
1.42133193285795e-214,2.43601323663637,0.992,0.742,4.58891227842516e-210,"0","Col1a1"
7.27344575998569e-188,2.59360889681324,0.775,0.174,2.34830469806898e-183,"0","Adamtsl1"
9.10691566955648e-187,2.45839478719969,0.918,0.4,2.940258793073e-182,"0","Col6a2"
4.57894957333149e-179,2.32163791450269,0.718,0.141,1.4783596592458e-174,"0","Nrxn3"
6.66727926615589e-173,1.78257100547675,0.98,0.683,2.15259778387109e-168,"0","Fbln1"
2.44598294235743e-170,2.87393115663665,0.649,0.11,7.89710052769519e-166,"0","Ifitm1"
1.38527834895564e-165,2.32109960330245,0.715,0.143,4.47250967743818e-161,"0","Gria4"
2.79766701099272e-162,2.23737287248749,0.907,0.443,9.03254771169109e-158,"0","Col6a1"
2.98290256827294e-162,1.74321011159074,0.987,0.712,9.63059923192602e-158,"0","Col5a1"
1.24506690300029e-155,2.28432375701237,0.852,0.342,4.01982300302673e-151,"0","Lsp1"
1.64962797927437e-149,2.08567789598448,0.726,0.179,5.32598889388525e-145,"0","Postn"
1.11852128069106e-138,1.95230056228669,0.917,0.579,3.61125780683915e-134,"0","Itm2a"
1.72154096993925e-137,1.99596632666009,0.866,0.419,5.55816717554586e-133,"0","Plagl1"
3.02181103108226e-137,2.38892631712592,0.661,0.167,9.7562190949522e-133,"0","Pltp"
1.33759543058482e-134,3.55576895326215,0.506,0.077,4.31856060718613e-130,"0","Cpz"
5.62032749775186e-134,1.28592443048328,0.975,0.839,1.81457893592416e-129,"0","Gas5"
2.28550459402912e-127,1.83131972553624,0.855,0.43,7.3789801322824e-123,"0","Olfml3"
2.40276486287682e-126,1.5623225323688,0.769,0.232,7.75756663628409e-122,"0","Bnc2"
6.43421238225147e-125,2.81708038211412,0.557,0.115,2.07734980973371e-120,"0","Maf"
8.53218282755532e-124,3.71897319888445,0.395,0.034,2.75470054770451e-119,"0","Hand2"
3.57706591132361e-123,1.22329517090715,0.986,0.813,1.15489150012994e-118,"0","Serpinh1"
7.27399520414186e-121,1.83268841478199,0.78,0.294,2.34848209160924e-116,"0","Adamts2"
8.10741443128364e-119,3.48859617367852,0.413,0.046,2.61755982328423e-114,"0","Ace2"
6.38633112072642e-118,1.61987398659278,0.89,0.515,2.06189086563773e-113,"0","Bgn"
5.59725068986441e-116,2.06342641358972,0.732,0.262,1.80712835772962e-111,"0","Lrmda"
1.64256940605092e-113,1.34315268376068,0.835,0.287,5.30319958437599e-109,"0","Xist"
4.55317118041893e-110,3.10123373897184,0.386,0.04,1.47003684731006e-105,"0","Hand2os1"
4.13142009798273e-109,1.36474984498625,0.917,0.577,1.33387029283471e-104,"0","Mmp2"
1.12315899046239e-108,1.2257986715979,0.929,0.529,3.62623111660686e-104,"0","Ncam1"
1.4368835054559e-108,2.13639900509281,0.617,0.178,4.63912208571492e-104,"0","Pitx2"
1.95823114475125e-108,2.31016260898379,0.594,0.163,6.32234507394388e-104,"0","Thbs2"
2.27031056378524e-106,0.962323629081969,1,0.956,7.32992468623703e-102,"0","Rpl41"
2.80039238962493e-105,1.52933981163537,0.894,0.573,9.04134686914304e-101,"0","Rcn3"
6.57335070106469e-104,0.927795707965451,0.989,0.826,2.12227200734575e-99,"0","Rpl31"
1.00718146721069e-103,1.13559606040887,0.984,0.721,3.25178608503642e-99,"0","Vcan"
2.00509282259945e-100,1.15212978854869,0.991,0.905,6.4736426870446e-96,"0","Sparc"
1.24555385674177e-99,2.03319261751975,0.554,0.136,4.02139518187647e-95,"0","Rhox5"
7.46405555116789e-99,0.995770316009165,0.983,0.874,2.40984497525007e-94,"0","Rrbp1"
1.38100526551317e-97,1.30152053797015,0.865,0.418,4.45871360023583e-93,"0","Epha3"
4.23880396588017e-97,1.06545508851905,0.956,0.795,1.36854024842407e-92,"0","Hdlbp"
3.90657478451793e-96,1.40882789829906,0.798,0.392,1.26127673492946e-91,"0","Dlk1"
3.43780235132752e-95,1.58987807541568,0.802,0.41,1.1099288671496e-90,"0","Ltbp4"
6.9740638208334e-95,0.960733628743758,0.989,0.878,2.25164624519427e-90,"0","Rps3a1"
1.67535628234368e-94,2.61019594851277,0.367,0.05,5.4090552931748e-90,"0","Thsd7a"
6.74116058522209e-94,2.58586475359559,0.411,0.068,2.1764511065448e-89,"0","Smoc2"
4.44495248451231e-93,2.39525056590143,0.439,0.084,1.43509735914964e-88,"0","Npr3"
6.07382613000509e-93,0.764696480414087,1,0.973,1.96099550433344e-88,"0","Rpl37a"
1.74522915180801e-92,1.52897130497161,0.909,0.57,5.63464683952735e-88,"0","Apoe"
2.84215657083057e-92,0.882803730260179,0.994,0.931,9.17618670458359e-88,"0","Rps26"
