"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.54226694269372,0.915,0.112,0,"Uni Fibro","Mki67"
0,4.40568954243626,0.745,0.08,0,"Uni Fibro","Birc5"
0,4.55564357839278,0.623,0.045,0,"Uni Fibro","Hist1h3c"
0,4.72947891238773,0.603,0.049,0,"Uni Fibro","Hist1h2bj"
0,5.04087472534035,0.579,0.04,0,"Uni Fibro","Hist1h2ab"
0,5.31534812328101,0.534,0.029,0,"Uni Fibro","Hist1h2bb"
0,4.53857591941401,0.51,0.032,0,"Uni Fibro","Hist1h2bn"
0,6.27256665573849,0.466,0.022,0,"Uni Fibro","Hist1h2ag"
0,5.74142891368517,0.445,0.021,0,"Uni Fibro","Hist1h3b"
0,5.36630769437021,0.271,0.006,0,"Uni Fibro","Hist1h2ao"
2.98101305705873e-298,5.96748301867092,0.348,0.015,9.62449875601983e-294,"Uni Fibro","Hist1h2bk"
4.5318064566493e-295,6.39822819475266,0.251,0.007,1.46313903259379e-290,"Uni Fibro","Hist1h3g"
2.07632423999333e-291,4.29067916912398,0.704,0.076,6.70362044124247e-287,"Uni Fibro","Pclaf"
7.0430133817079e-286,4.43468442032315,0.656,0.066,2.27390730041821e-281,"Uni Fibro","Nusap1"
1.02394156823007e-279,4.25347567259343,0.567,0.048,3.30589774718761e-275,"Uni Fibro","Kif4"
2.45059101383151e-277,4.5843744857666,0.599,0.056,7.91197814725641e-273,"Uni Fibro","Hist1h2an"
8.15455906021277e-270,5.07114580966685,0.413,0.025,2.6327809381803e-265,"Uni Fibro","Neil3"
3.04956317266008e-268,4.58674398137997,0.405,0.024,9.84581965925034e-264,"Uni Fibro","Hist1h2ak"
4.72745651562193e-268,5.03224513562326,0.377,0.021,1.5263066106337e-263,"Uni Fibro","Hist1h2bm"
7.19521947066383e-264,3.86334817845701,0.862,0.137,2.32304855829853e-259,"Uni Fibro","Top2a"
6.04076096662588e-262,4.40985726107844,0.664,0.076,1.95032008568483e-257,"Uni Fibro","Spc24"
4.27834421080219e-259,4.00727130587308,0.583,0.055,1.3813062118996e-254,"Uni Fibro","Kif15"
3.3128659937358e-257,3.90094771441829,0.595,0.059,1.06959191473754e-252,"Uni Fibro","Knl1"
8.21412970009319e-255,4.58764738398526,0.502,0.042,2.65201391497209e-250,"Uni Fibro","Asf1b"
1.26718685191261e-250,4.30113649183547,0.636,0.071,4.09123947008507e-246,"Uni Fibro","Cit"
6.60753852029333e-249,5.03603186519175,0.709,0.095,2.1333098866619e-244,"Uni Fibro","Hist1h2ae"
7.18680835573274e-249,4.6654152696985,0.437,0.031,2.32033294573187e-244,"Uni Fibro","Hist1h2ai"
9.19141961424859e-247,4.26167449565553,0.664,0.08,2.9675417366563e-242,"Uni Fibro","Cdca8"
4.38890733736856e-241,4.93209401683585,0.312,0.015,1.41700262294281e-236,"Uni Fibro","Depdc1b"
1.37464948356749e-237,6.5053563981575,0.227,0.007,4.43819332264598e-233,"Uni Fibro","Hist1h2ah"
3.59045745731643e-235,3.62555410305889,0.68,0.086,1.15921509466918e-230,"Uni Fibro","Racgap1"
6.32511667209712e-235,3.87006152137168,0.628,0.073,2.04212716875328e-230,"Uni Fibro","Kif11"
3.85136268788261e-234,5.08994180971445,0.352,0.021,1.24345095740978e-229,"Uni Fibro","Hist1h2af"
3.9645891941358e-227,3.87102748741625,0.599,0.067,1.28000726721869e-222,"Uni Fibro","Cenpe"
1.10521902043138e-225,3.93544647218702,0.607,0.07,3.56831012936476e-221,"Uni Fibro","Ccnb2"
1.2110954179453e-225,3.9462830606856,0.526,0.051,3.91014266637821e-221,"Uni Fibro","Ccna2"
3.32017805887899e-225,3.88467546036171,0.579,0.064,1.07195268808967e-220,"Uni Fibro","Cdca3"
3.18590233217345e-220,3.53544304668469,0.534,0.053,1.02860042696552e-215,"Uni Fibro","Hist1h3i"
1.73644820075421e-219,4.36563280006035,0.441,0.037,5.60629666095504e-215,"Uni Fibro","Esco2"
1.25634707237548e-213,4.19583035709042,0.522,0.053,4.05624215787146e-209,"Uni Fibro","Hist1h2ap"
2.77065869029987e-213,4.36992827506143,0.202,0.006,8.94534864750216e-209,"Uni Fibro","1700097N02Rik"
