"Mouse.ID","Genotype","Gender","PNW","Days.after.tamoxifen.injection","sample_id","core_id","Histotype","Cambium.layer","Rhabdomyoblasts","Anaplasia","Necrosis","Trp53","Kras","Hras","Nras","Dicer1","Kras.qPCR","Kras.FISH"
"HDT296","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","81","533","HDT296_kidney_1_tumor","HDT296_48","LGMT-like","yes","no","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT298","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","81","533","HDT298_kidney_1_tumor","HDT298_16","LGMT-like","no","no","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT339","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","M","66","444","HDT339_kidney_2_tumor","HDT339","LGMT-like","yes","no","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT339","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","M","66","444","HDT339_kidney_1_tumor","HDT339_20","LGMT-like","yes","no","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT344","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","66","444","HDT344_kidney_1_tumor","HDT344_52","LGMT-like","yes","no","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT348","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","M","62","414","HDT348_kidney_1_tumor","HDT348_15","LGMT-like","no","no","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT366","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","69","455","HDT366_kidney_1_tumor","HDT366_17","LGMT-like","yes","no","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT400","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","M","46","290","HDT400_kidney_1_tumor","HDT400_57","LGMT-like","yes","no","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT539","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","52","350","HDT539_kidney_1_tumor","HDT539_58","LGMT-like","yes","no","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT291","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","61","393","HDT291_kidney_1_tumor","HDT291_34","SARC-like","no","no","no","yes","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT295","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","M","81","533","HDT295_kidney_1_tumor","HDT295_47","SARC-like","no","no","yes","yes","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT300","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","M","65","422","HDT300_kidney_2_tumor","HDT300_19","SARC-like","yes","yes","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT318","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","78","517","HDT318_kidney_1_tumor","HDT318_49","SARC-like","yes","yes","no","no","Missense","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT320","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","52","330","HDT320_kidney_2_tumor","HDT320_50","SARC-like","yes","no","no","yes","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT321","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","65","422","HDT321_kidney_1_tumor","HDT321_44","SARC-like","yes","no","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT325","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","48","305","HDT325_kidney_1_tumor","HDT325_31","SARC-like","yes","no","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT340","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","M","58","391","HDT340_kidney_1_tumor_a","HDT340_23","SARC-like","yes","yes","no","no","Missense","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT344","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","66","444","HDT344_kidney_2_tumor","HDT344_51","SARC-like","yes","yes","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
