step	script	runtime_env	inputs	outputs	status	blocker
1	dicer1_scrna_qc.R	653_renv (R 4.2.2)	data/PX*/{barcodes,features,matrix}; metadata/dicer1_scrna_sample_metadata.csv	output/scrna/dicer1_scrna_sce_qc.rds	COMPLETED	none
2a	dicer1_scrna_controls.R (patched)	653_renv (R 4.2.2)	output/scrna/dicer1_scrna_sce_qc.rds	output/scrna/dicer1_scrna_{unfilter,filter}_control.rds	COMPLETED	none
2b	dicer1_scrna_tumors.R (patched)	653_renv (R 4.2.2)	output/scrna/dicer1_scrna_sce_qc.rds	output/scrna/dicer1_scrna_unfilter_tumor.rds	COMPLETED	none
2b_f	dicer1_scrna_tumors_filter_only_patched.R	653_renv (R 4.2.2)	output/scrna/dicer1_scrna_unfilter_tumor.rds	output/scrna/dicer1_scrna_filter_tumor.rds	COMPLETED	none
3a	dicer1_rna.R (patched)	653_renv (R 4.2.2)	data/star_salmon/*/quant.sf; data/star_salmon/tx2gene.tsv	output/tables/dicer1_rna_*.csv; output/plots/dicer1_rna_*.png	COMPLETED	none
3b	dicer1_scrna_controls_and_tumors.R (patched)	653_renv (R 4.2.2)	output/scrna/dicer1_scrna_filter_{control,tumor}.rds	output/scrna/dicer1_scrna_filter_control_and_tumor.rds	COMPLETED	none
3c	dicer1_scrna_trajectory.R (patched)	653_renv2 (R 4.5.3)	output/scrna/dicer1_scrna_filter_tumor.rds	output/scrna/dicer1_scrna_trajectory_cds.rds; output/plots/dicer1_scrna_filter_tumor_trajectory_*.png	COMPLETED	branch trajectories require interactive choose_graph_segments
3d	dicer1_scrna_run_pathway_analysis.R (patched v4)	653_renv (R 4.2.2)	output/scrna/dicer1_scrna_filter_tumor.rds; data/progeny_omnipath.tsv	output/tables/dicer1_scrna_filter_tumor_pathway_activity.csv; output/plots/dicer1_scrna_filter_tumor_pathway_*.{png,svg}	COMPLETED	none
4a	dicer1_scrna_export_infer_cnv_filter_only.R (patched)	653_renv (R 4.2.2)	output/scrna/dicer1_scrna_filter_{control,tumor}.rds	output/infer_cnv/dicer1_scrna_filter_combined_counts.matrix (624MB); output/infer_cnv/dicer1_scrna_filter_combined_infer_cnv_cells.tsv	COMPLETED	filter-only variant used to avoid OOM on unfiltered combined matrix
4b	dicer1_scrna_run_infer_cnv_v2_patched.R	653_renv (R 4.2.2)	output/infer_cnv/dicer1_scrna_filter_combined_counts.matrix; output/infer_cnv/dicer1_scrna_filter_combined_infer_cnv_cells.tsv; reference/gene_order.tsv	output/infer_cnv/combined_filter/run.final.infercnv_obj; output/infer_cnv/combined_filter/run_final_infercnv_obj.rds	COMPLETED	random_trees fix (Seurat v5 leiden incompatibility at step 15); ran with 2 threads to reduce memory pressure; all 22 HMM steps completed; run_final_infercnv_obj.rds written
4c	dicer1_scrna_add_infer_cnv_seurat.R (via add_to_seurat_intermediate.R then author script)	653_renv (R 4.2.2)	output/infer_cnv/combined_filter/run.final.infercnv_obj	output/infer_cnv/dicer1_scrna_filter_combined_infercnv.rds; output/infer_cnv/dicer1_scrna_filter_combined_infercnv_metadata.rds; output/infer_cnv/dicer1_scrna_filter_tumor_infercnv.{png,svg}; output/infer_cnv/dicer1_scrna_filter_tumor_infercnv_split_sample.{png,svg}	COMPLETED	completed July 2026 (post-initial-run); add_to_seurat_intermediate.R added the missing infercnv::add_to_seurat() step; CNV proportion metadata added per chromosome; FeaturePlot S7 fallback applied
X1	dicer1_xenium_proseg_mus_musculus_patched.R	653_renv2 (R 4.5.3)	output/xenium/dicer1_xenium_mus_musculus_all.rds (2.2GB, GSE289001)	output/xenium/dicer1_xenium_{wt,mut}.rds; output/plots/dicer1_xenium_*.{svg,png}; output/tables/dicer1_xenium_*.csv	BLOCKED	OOM — after QC filtering WT subset has 622K cells; SCTransform requires ≥32 GB RAM; 3 attempts made (v1: FOV class error; v2: OOM on full 1.5M object; v3: OOM on 622K WT subset); patched script (v3) is ready to run on ≥32 GB RAM system; no code or data gap
X2	dicer1_xenium_proseg_homo_sapiens.R	N/A	Human Xenium RDS	N/A	BLOCKED	Human Xenium data not deposited in any public repository; no GEO/Zenodo deposit found
X3	dicer1_swgs.R	N/A	dicer1_swgs_50kb_noXY_copyNumbersSegmented_filtered_called.rds	N/A	BLOCKED	sWGS segmented CNV RDS not deposited anywhere; PRJNA1221971 raw WGS excluded per directive
