chr	start	stop
ENSMUSG00000025902	chr1	4561151	4567784
ENSMUSG00000033845	chr1	4843429	4855972
ENSMUSG00000025903	chr1	4877884	4925598
ENSMUSG00000033813	chr1	4927691	4970151
ENSMUSG00000033793	chr1	5089010	5234940
ENSMUSG00000025907	chr1	6276421	6377444
ENSMUSG00000025909	chr1	8429960	9370103
ENSMUSG00000025911	chr1	9618173	9651272
ENSMUSG00000097893	chr1	9817072	9862153
ENSMUSG00000025915	chr1	9868021	9971075
ENSMUSG00000098234	chr1	9926809	10014504
ENSMUSG00000025917	chr1	10094826	10108393
ENSMUSG00000056763	chr1	10108194	10207000
ENSMUSG00000016918	chr1	12762501	12931416
ENSMUSG00000025935	chr1	13632155	13660162
ENSMUSG00000025937	chr1	13693554	13730979
ENSMUSG00000025932	chr1	14239167	14380543
ENSMUSG00000025925	chr1	15875840	15914280
ENSMUSG00000025921	chr1	16175555	16203958
ENSMUSG00000025920	chr1	16293941	16590357
ENSMUSG00000025939	chr1	16611012	16689713
ENSMUSG00000025940	chr1	16735407	16748499
ENSMUSG00000025779	chr1	16758275	16779961
ENSMUSG00000099906	chr1	20740106	20754522
ENSMUSG00000025934	chr1	21310806	21335885
ENSMUSG00000028033	chr1	21468627	22032166
ENSMUSG00000026158	chr1	23403467	23436853
ENSMUSG00000026156	chr1	23800834	23888239
ENSMUSG00000026155	chr1	23882260	23961555
ENSMUSG00000026154	chr1	24034185	24044758
ENSMUSG00000026153	chr1	24049820	24139592
ENSMUSG00000026134	chr1	33492888	33709466
ENSMUSG00000026131	chr1	33946918	34347742
ENSMUSG00000026127	chr1	34478568	34488437
ENSMUSG00000026126	chr1	34498806	34514814
ENSMUSG00000026123	chr1	34888776	34920379
ENSMUSG00000010453	chr1	36374309	36408267
ENSMUSG00000026121	chr1	36587720	36597963
ENSMUSG00000026116	chr1	36831271	36982747
ENSMUSG00000026113	chr1	37338919	37449820
ENSMUSG00000026112	chr1	37456163	37469190
ENSMUSG00000026111	chr1	37469141	37478205
ENSMUSG00000026110	chr1	37478421	37580127
ENSMUSG00000026088	chr1	37913882	37929497
ENSMUSG00000026087	chr1	37929558	37939816
ENSMUSG00000026083	chr1	38037038	38094683
ENSMUSG00000026082	chr1	38091652	38169186
ENSMUSG00000026078	chr1	39024689	39038023
ENSMUSG00000026077	chr1	39232705	39402323
ENSMUSG00000026074	chr1	39940044	40067208
ENSMUSG00000026073	chr1	40113239	40164391
ENSMUSG00000026072	chr1	40264174	40356417
ENSMUSG00000008136	chr1	43162199	43236290
ENSMUSG00000026049	chr1	44125773	44141635
ENSMUSG00000026047	chr1	44143056	44158876
ENSMUSG00000026048	chr1	44186888	44220420
ENSMUSG00000056870	chr1	44590595	44836044
